Collection,SINNO.ID,Name.Swe,Name.Eng,Descri.Swe,Industry,Product.code,Use.sectors,Use.sector.2,Use.sector.3,Use.sector.4,X,Notes,Innovation.type,Artifactual.complexity,Developmental.complexity,COM_Year,Commissioner,Firm.Novelty,Market.Novelty,Patent.Status,Literal.name.of.innovating.firm...SINNO.s.common.name...SINNO.ID,Location,Firm.only.produces.the.innovation,Corporate.group,Firm.founded.for.development.or.commercialization,Previously.developing.firms,Previously.developing.firm.2,Previously.developing.firm.3,Previously.developing.firm.4,Presentation.Year,Development.Year,Year.of.first.prototype,Use.sector.5,Use.sector.6,Use.sector.7,Use.sector.8,Use.sector.9,Origins,Origin.2,Origin.3,Origin.4,Origin.5,Additional.information.if.Origin...1a.New.scientific.discovery,Additional.information.if.Origin...1b.New.technologies.or.materials,Additional.info.if.Origin...2a.Official.regulation..legislation.and.standards.,Additional.information.if.Origin...5b.Solution.for.a.problem,Additional.information.if.Origin...7.Performance,Additional.information.if.Origin...20.Other,Science.spin.off,Research.insititutes.of.spin.off,Research.insititute.2.of.spin.off,Research.insititute.3.of.spin.off,Universities.of.spin.off,University.2.of.spin.off,University.3.of.spin.off,Developed.in.collaboration.with.other.actors,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID,Type,Country,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.1,Type.1,Country.1,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.2,Type.2,Country.2,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.3,Type.3,Country.3,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.4,Type.4,Country.4,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.5,Type.5,Country.5,Public.technology.program.involved,Public.technolgy.program.s.name,External.financing.received,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID,Type.of.funder,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.1,Type.of.funder.1,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.2,Type.of.funder.2,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.3,Type.of.funder.3,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.4,Type.of.funder.4,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.5,Type.of.funder.5,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.6,Type.of.funder.6,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.7,Type.of.funder.7,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.8,Type.of.funder.8,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.9,Type.of.funder.9,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.10,Type.of.funder.10,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.1,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.2,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.3,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.4,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.5,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.6,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.7,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.8,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.9,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.10,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.11,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.12,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.13,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.14,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.15,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.16,BIO.Name
SWINNO - updated,8327001,,,Värmekamera som bygger på optik för infraröd värmemätning. Detektorn kyls med ett s k Peltier-element. På så sätt kan kameran arbeta kontinuerligt i industrimiljöer. Själva detektorn är också av en ny typ som kallas Spite (Processing in the element). Detektorn består av ett material som är känsligt för infrarött ljus. Detektorn är särskilt lämplig som givare för rörliga förlopp. ,Machinery and Equipment,33200,-100,,,,1627,Tidigare Aga,1,2,2,1985,,2,NA,NA,Agema ; Agema ; 7329002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Större precision,,NA,,,,,,NA,1,Saab Combitech ; Saab Combitech ; 7523002,17,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1986 ; 20 ; 40-41 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9315001,,,Plaststolpar som väger en tiondel av vanliga träspolpar,,25230,401,,,,1642,,1,3,3,1985,,1,1,NA,Gullfiber AB ; Gullfiber ; 9956002,Billesholm,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Väger mindre,,NA,,,,,,NA,1,Svenska Kraftverksföreningen ; Svenska Kraftverksföreningen ; 13162002,35,SWE,Televerket ; Televerket ; 6787002,35,SWE,Bålforsens Kraft AB ; Bålforsens Kraft ; 13909002,17,SWE,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Plastforum Scandinavia ;  ; 1985 ; 9 ; 41 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9461001,Determinex DL 1000,,Analysrobot som höjer kausticeringsgraden i mixerier (för sulfatmassaproduktion),,29569,21112,,,,1644,,1,1,1,1985,,3,2,NA,Boliden Determinex ; Boliden Determinex ; 10217002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,ökad  kausticeringsgrad; låga driftskostnader,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Svensk Trävaru och Pappersmassetidning ;  ; 1986 ; 3 ; 21 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9471001,Determinex DL 2000,,Analysrobot för kontroll och tillverkning av klordioxid. Roboten ger möjlighet till bättre utnyttjande av både råvaror och bättre färdig produkt samt ger ett jämnare blekresultat och säkrare miljökontroll. Klordioxid används för blekning av pappersmassa.,,29569,24,,,,1645,,1,2,2,1985,,2,NA,NA,Boliden Determinex ; Boliden Determinex ; 10217002,,NA,Boliden AB,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5a,,,,,,,,Ger bättre nyttjande av råvaror och sparar pengar pga automatisering av tidigare manuellt arbete.,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Svensk Trävaru och Pappersmassetidning ;  ; 1988 ; 5 ; 30-31 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10232001,,,Lastpall av bockad profilerad tunnplåt. Pallen väger ca 10 kg mindre än de av trä och ca 20-30 kg mindre än andra pallar av plåt. ,Machinery and Equipment,28759,-100,60,61,62,1650,Maskinen för bockningen av tunnplåten är utvecklad av Seard Åberg. Tillverkningen av pallarna ska ske vid Groko Pallet AB:s nya fabrik i Karlshamn.,3,3,3,1985,,1,2,NA,Groko Maskin AB ; Groko Maskin ; 9808002,Luleå,NA,,NA,,,NA,NA,1977,1979,NA,63,NA,NA,NA,NA,5a,1b,7,,,,,,,"Lättare, lättare att hålla ren.",,NA,,,,,,NA,1,Tekniska Högskolan i Luleå ; Luleå tekniska högskola ; 13523002,11,SWE,Packforsk Service AB ; Packforsk Service ; 13836002,36,SWE,ASG ; ASG ; 13364002,36,SWE,AB Kyllingekärran (Karlshamn) ; Kyllingekärran ; 13961002,17,SWE,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1985 ; 14 ; 61 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10235001,,,"Energiåtervinningssystem för bussar med hjälp av en tryckackumulator som återvinner energi som alstras vid inbromsning. Systemet består huvudsakligen av en växel som är kopplad till en hydraulmaskin, en kombinerad pump/motor med 160 kubikcentimeters slagvolym, som är monterad på kardanaxeln, samt en hydraulcylinder och en tryckackumulator. ",,34300,60212,,,,1652,,1,2,2,1985,,2,NA,NA,Volvo Flygmotor AB ; Volvo Flygmotor ; 9959002,Trollhättan,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5a,,,,,,,,Sparar energi.,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1985 ; 7 ; 50 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10237001,,,"Metod för att belägga valsar, rullar, profiler och andra komponenter med gummi. Metoden går ut på att expandera det redan vulkaniserade gummimaterial, i form av en slang, som skall utgöra beläggningen. Slangen hålls sedan i utspänt läge. Därefter är det bara att göra in önskat objekt i slangen och låta den söka återta sin ursprungliga dimension, varcid den kommer att spänna runt det inneslutna ämnet/kärnan. Tidigare har möjligheterna att gummibelägga material varit begränsade till material som tål värme. Metoden är patentsökt i 20 länder. Metoden öppnar för att gummibelägga bl. a. trä, plast och andra brännbara material. ",,29420,,,,,1654,företaget startades 1985,3,2,2,1985,,1,2,1,Alscan Rubber AB ; Alscan Rubber ; 9239002,Helsingborg,NA,Alison Dieden,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1985 ; 13 ; 140-141 ; ,1 ; Ny Teknik ;  ; 1985 ; 42 ; 50-51 ; ,1 ; Ny Teknik ;  ; 1985 ; 18 ; 44-45 ; ,1 ; Plastforum Scandinavia ;  ; 1985 ; 5 ; 22 ; ,1 ; Plastforum Scandinavia ;  ; 1985 ; 6 ; 50 ; ,,,,,,,,,,,,,NA
SWINNO - extension,11356001,,,En hydraulisk motor för industriellt bruk som klarar av tuffa miljöer utan förlorad prestanda.,,29110,29,,,,1662,"1985 comes from ""mid 1980s"".",1,2,2,1985,,2,NA,0,Hägglunds ; Hägglunds ; 7116002,Mellansel,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b,7,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Bergsmannen 1 ; Nordic Steel & Mining Review ; 2009 ; 3 ; 66 ; ,1 ; Bergsmannen 1 ; Nordic Steel & Mining Review ; 2009 ; 3 ; 66 ; ,,,,,,,,,,,,,,,,NA
SWINNO - updated,6201001,,,"Avancerat mikrodatorsystem för allmän automation: styrning, reglering, övervakning och datainsamling exempelvis ino klimat- och miljöteknik, klimat- och processtyrning. Systemet har en helt decentraliserad uppbyggnad av hårdvara och programvara, avancerad kommunikation och realtids högnivåspråk. Hårdvaran består av friprogrammerbara moduler med varierande storlek och en kombination av analoga och digitala in- och utgångar. Alla modulerna har en kommunikationsport. Programvaran består av ett realtids operativsystem i varje modul och ett utvecklingspaket.",,30020,-100,,,,1669,,1,1,2,1986,,2,NA,NA,Exomatic AB ; Exomatic ; 9809002,Svalöv,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Automatisering; kapacitet att hantera snabba förlopp,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Automation ;  ; 1986 ; 3 ; 14 ; ,1 ; Automation ;  ; 1986 ; 8 ; 11-12 ; ,,,,,,,,,,,,,,,,NA
SWINNO - updated,6203001,,,Dimensionsmätsystem där kombinationen av beröringsfria mtgivare och en kraftfull mätdator gör att man kan lösa en mängd dimensionsmätuppgifter i storserieproduktion på ett tillförlitligt sätt. Mätgivarna är robust upbyggda och arbetar från några millimeters mätområde till 200 mm. Givarna är anslutna till en mätdator som även ger strömmatning i de fall givarna inte har eget späningsaggregat. Mätdatorn är utformad för att tåla dålig industrimiljö och placeras i närheten av givarna. Mätdatorn utgörs av en speciellt framtagen hårdvara som är baserad på en kraftfull mikroprocessor. I systemet finns ett realtids operativsystem som gör att samtidig behandling av alla givarsignaler kan ske liksom bearbetning och presentation av mätresusltaten.,Machinery and Equipment,33200,20,15,21,28,1671,Solna,1,1,2,1986,,2,NA,NA,SAPOS AB ; SAPOS ; 5205002,,NA,,NA,,,NA,NA,NA,NA,NA,-100,NA,NA,NA,NA,7,,,,,,,,,Automatisering; kontrollerar rätt dimensioner; ger besparingar för användaren.,,NA,,,,,,NA,1,Remplir ; Remplir ; 13037002,18,FRA,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,"1 ; Automation ;  ; 1986 ; 4 ; 33-34,37 ; ",,,,,,,,,,,,,,,,,NA
SWINNO - updated,7001001,,,Bioteknisk separator för bakterier och jäsningsprodukter som är helt sluten och kan ångsteriliseras vid 121 C. Separatorn uppfyller kraven för att få certifieras som en BL 3 (Biosafety Levels).,,29530,24,15,,,1696,,1,2,2,1986,,3,NA,NA,Alfa-Laval AB ; Alfa Laval ; 9800002,Lund,NA,Alfa-Laval AB,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Kemisk Tidskrift ;  ; 1986 ; 7 ; 51-52 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7477001,SKOGIS (mjukvara),,"System för datainsamling, bearbetning och uppföljning av hantering av skogsråvaran. ",,30020,2,,,,1708,Inte att förväxla med skogsskotern Skogis. ,1,2,3,1986,,3,NA,NA,ND Silvidata AB ; ND Silvidata ; 6479002,Sundsvall,NA,Norsk Data A/S,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Sågverken ;  ; 1986 ; 2 ; 43-45 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9462001,,,Tabletter som tar död på träd som skapar lövslyproblem genom att tabletter förs in i trädstammen,,24140,2,,,,1715,,1,3,NA,1986,,1,1,NA,Forestry Injection Company (FIC AB) ; Forestry Injection Company ; 8464002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5b,,,,,,,,problem med lövsly på hyggen,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Svensk Trävaru och Pappersmassetidning ;  ; 1986 ; 5 ; 39 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10245001,,,"Ny bensinmotor. 2 l, försedd med 16 ventiler, dubbla överliggande kamaxlar samt elektroniska system för bränsleinsprutning och tändning. Målet var att konstruera en motormed hög effektmen låg bränsleförbrukning. Genom att förse motorn med ett modifierat cylinderhuvud, assymetriska insugskanaler, samt ökat kompressionen, kunde man höja effekten med drygt 10 % och samtidigt minska bränsleåtgången med ca 10 %, i jämförelse med Saabs insprutningsmotor med 8 ventiler. Det helelektroniska systemet för bränsleinsprutning är mikrodatorbaserat och mäter massan av insugningsluften i stället för mängden.",,34100,34100,,,,1725,,1,2,2,1986,,3,NA,NA,Saab-Scania ; Saab-Scania ; 5472002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,,,,,,,,Bränslesnål med hög effekt. ,Utvecklat för att sitta i de egna bilarna. ,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1986 ; 6 ; 58 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10612001,,,"Teknik för rökgasrening. I korthet går tekniken ut på att med en specialkonstruerad rökgaskylare sänka temperaturen i röken från 140 grader till 35 grader samt ta tillvara kondenseringsvärmen. Pannornas effekt har med hjälp av världens två största absorptionsvärmepumpar ökat från 70 till 92 MW utan att tillföra mer bränsle. Innehållet i försurande, miljöfarliga och andra skadliga ämnen i röken reduceras högst väsentligt. ",,29240,90,,,,1739,,1,2,2,1986,,2,1,NA,Fagersta Energetics ; Fagersta Energetics ; 9614002,Fagersta,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,,,,,,,,Miljövänligare,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; VVS & Energi ;  ; 1986 ; 12 ; 5 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10669001,,,"Industrier, som använder stora oljemängder för hydraulik- , härdnigns eller smörjändamål kan kraftigt minska sina oljekostnader genom riktig hantering och renhållningen eller rening av dessa oljor varvid de föbrlir fullt användbara. Brukens Härdtjänster AB i Anderstorp har läge funderat på hur man skall kunna återvinna den olja, som tvättas bort efter härdningsförfarandet. I samarbete med Melander Marketing AB i Kvicksund har ett aggregat för denna oljerening tagits frma. Det är i drift sedan april månad. tester utförda på den renade oljan av oljebolag och IVF i Göteborg visar att dne renade oljan har praktiskt taget samma egenskaper som ny olja. Vattenhalten är några 10-tals ppm ohc partikelhalten mycket låg. En härdningsugn använder enart renad olja och driftserfarenheterna är mycket goda. opljereningen sker vid en temrpatur av 60 grader C och i tre steg. Innan oljan tillförs aggregatet har den genomgått skming i 2 omgångar. Efter påfyllning får oljan stå under upvärmnig i ca två dygn, varefter fritt vatten och sedimenterade partiklar tappas av. Nästa steg är att oljan sugs genom de koalescerande filtren. Denna fas pågår fca ett dygn. Steg 3 blir då att även de absorberande filtren kopplas in i serie med de koalescerande filtren. Att rena en sats om 2 kubikmeter tar ca en arbetsvecka. Är oljan väl förbehandlad kan tiden kortas något. Då utrustningen kntrolelras av ett styrsystem, som kontrolelrar temperatur, tryck ohc tid, krävs manuella tågärder enbart vid påfyllning och tämning samt vid omkoppling mellan de olika stegen och vid filterbyten. Det beskrivna aggregatet lämpar sig även för renign av andra typer av oljor. Satsrenign kan vara lämplig vid transformator-, hyaul- och smörjoljor. Prov utfördes med en enkel renignsnaläggnign vid en av Vattenfalls anläggnignar, varvid förorenad transformatorolja renades å att provning ga vöerslag först vid 280 kV. Här användes enbart absorberand efilter. Genoma tt tillvarata öfrorenad olja och att hålla isär de olika oljekvaliteterna kan de flesta renas och återanvändas. Kostnaden för renignsprocessen överstiger sällan 30% av oljans ypris. Eftersträvas en minimal kostnad skall oljan hållas ren hela tiden, vilket är billigare än att vid jämna mellanrum rena den. Föroreningar i olja är inte bar aprtikalr utan även vatten och bildade syror, vilka tillsammans med partikalrna ger ne mycket hög förslitningseffekt i hydraul. och smörjsysm. Här finns mycekt stora möjligheter till kostnadsbesparingar, då driftsstörnignar ofta orsakas av oren olja med åtfölajnde reparationskostnader.",Food,29120,-100,,,,1740,,1,2,2,1986,,2,NA,NA,Brukens Härdtjänster AB ; Brukens Härdtjänster ; 9671002,Anderstorp,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,"Gör att oljan kan användas om och om igen, vilket sparar pengar.",,NA,,,,,,NA,1,Melander Marketing AB ; Melander Marketing ; 13653002,17,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Jernkontorets Annaler ;  ; 1986 ; 4 ; 65 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6984001,Somatonorm,,"Biosyntetiskt tillväxthormon. Det huvudsakliga användningsområdet för hormonet är att bota dvärgväxt. Det tros också kunna användas för att läka brännskador, andra sår och benfrakturer. ",,24420,85,,,,1759,,1,3,1,1987,,1,2,NA,KabiVitrum ; KabiVitrum ; 9979002,,NA,,NA,,,NA,NA,NA,NA,1982,NA,NA,NA,NA,NA,1b,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Bioteknik & Biokemi ;  ; 1985 ; 1 ; 16 ; ,2 ; Kemivärlden Biotech med Kemisk Tidskrift ;  ; 2013 ; 9 ; 20 ; ,,,,,,,,,,,,,,,,NA
SWINNO - updated,7008001,,,"Metod för rökgasrening vid förbränning av sopor. Kondenserande rökgasrening innebär at rökgaserna kyls i två steg, där det första steget består av en tvättreaktor. Det andra steget utgörs av en kondenseringsreaktor och i detta steg utvinns värme. Vid kondenseringen avskiljs saltsyra, ångformigt kvicksilver samt stoftburna tungmetaller. Det är också möjligt att avskilja dioxiner och dibensofuraner. Restprodukterna, som innehåller tungmetaller och avskilda organiska ämnen, måste deponeras på ett miljösäkert sätt. ",,29240,900,,,,1761,,1,1,2,1987,,2,NA,NA,Götaverken Energy Systems AB ; Götaverken Energy Systems ; 9983002,Göteborg,NA,,NA,,,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,12,7,,,,,,,,Kapacitet,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Kemisk Tidskrift ;  ; 1987 ; 3 ; 17-18 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7483001,,,"Anläggning för rening av rökgaser och återvinning av energi. Metoden innebär att man inte enbart får mycket god rening av rökgaserna, men också att man tillvaratager rökgasernas energiinnehåll. Med konventionella rökgasreningssystem släpps rökgaserna ut med en temperatur av ca 210 grader. MEd Andezes återvinningssystem kan rökgastemperaturen sänkas till 15 grader. Härigenom får man med samma bränslemängd ett energitillskott på motsvarande ca 25 %. ",,29240,-100,,,,1769,,1,2,2,1987,,1,2,NA,Andeze AB ; Andeze ; 6485002,Helsingborg,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Återvinner energi och renar rökgas mycket effektivt.,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,1,Statens energiverk ; Statens Energiverk ; 12389002,7,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Sågverken ;  ; 1987 ; 7 ; 82 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7484001,Lineroller,,"Anordning för rambarkning av träd. Metoden går ut på att två plasttrattar sätts på motorsågen. De två trattarna styr sedan när kedjan slitsar upp barken. OM man inte randbarkar ett träd går man miste om dyrbar energi, eftersom torkningen då börjar ute och går inåt till kärnan. Med Lineroller eliminerar man också risken för farliga kast. ",,25240,2,,,,1770,,1,3,3,1987,,1,2,NA,Limstaprodukter ; Limstaprodukter ; 6486002,Kramfors,1,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5a,,,,,,,,Rationaliserar rambarkning av träd.,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Sågverken ;  ; 1987 ; 7 ; 85 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7540001,WoodEye,,"Scanner för trävaror. När trävarorna passerar genom denna granskas de från flera håll samtidigt och av flera sensorer, specialiserade på att se olika egenskaper hos trämaterialiet. Datorer analyserar resultatet och beräknar den optimala användningen av varje trästycke. ",Machinery and Equipment,33400,20,,,,1771,"YoC was 2003 -> changed to 1987 based on NTT 2012 15-16 33, based on the first delivery.",1,2,2,1987,,2,NA,NA,Innovativ Vision AB ; Innovativ Vision ; 6542002,Linköping,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; NTT ;  ; 2003 ; 7 ; 7 ; ,5 ; NTT ;  ; 2004 ; 3 ; 8 ; ,1 ; NTT ;  ; 2005 ; 17 ; 12 ; ,5 ; NTT ;  ; 2006 ; 27 ; 5 ; ,2 ; NTT ;  ; 2012 ; 15-16 ; 33 ; ,1 ; NTT ;  ; 2013 ; 17-18 ; 14 ; ,5 ; Automation ;  ; 2013 ; 4 ; 18-23 ; ,,,,,,,,,,,NA
SWINNO - updated,8358001,Prenox,,Utsläppsfri blekmetod för pappersmassa. Metoden innebär att massan förbehandlas med syre och kväveoxider innan den går vidare till slutblekning. På så sätt minskas kloranvändningen och de giftiga utsläppen. ,,74202,2112,,,,1782,Marknadsförs av Sunds Defibrator.,1,2,2,1987,,2,2,NA,MoDo ; MoDo ; 10106002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5a,7,1b,,,,,,Inga utsläpp.,,NA,,,,,,NA,1,Chalmers ; Chalmers ; 11262002,11,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1987 ; 21 ; 4 ; ,1 ; Ny Teknik ;  ; 1989 ; 21 ; 6 ; ,,,,,,,,,,,,,,,,NA
